position;club;country;country1;2018;2019;2020;2021;2022;total
1;Bayern München;Germany;Ger;29000;20000;36000;27000;26000;138000
2;Manchester City;England;Eng;22000;25000;25000;35000;25000;132000
3;Liverpool;England;Eng;30000;29000;18000;24000;28000;129000
4;Chelsea;England;Eng;18000;30000;17000;33000;25000;123000
5;Real Madrid;Spain;Esp;32000;19000;17000;26000;25000;119000
6;FC Barcelona;Spain;Esp;25000;30000;24000;20000;15000;114000
7;Paris Saint-Germain;France;Fra;19000;19000;31000;24000;19000;112000
8;Juventus;Italy;Ita;23000;21000;22000;21000;20000;107000
9;Atlético Madrid;Spain;Esp;28000;20000;22000;16000;19000;105000
10;Manchester United;England;Eng;20000;19000;22000;26000;18000;105000
11;AS Roma;Italy;Ita;25000;17000;11000;24000;17000;94000
12;Sevilla;Spain;Esp;21000;13000;26000;19000;12000;91000
13;Tottenham Hotspur;England;Eng;21000;26000;16000;15000;5000;83000
14;Ajax;Netherlands;Ned;1500;27000;13000;19000;22000;82500
15;RB Leipzig;Germany;Ger;17000;5000;27000;17000;15000;81000
16;FC Porto;Portugal;Por;17000;23000;7000;23000;10000;80000
17;Arsenal;England;Eng;21000;26000;10000;23000;0;80000
18;Villarreal;Spain;Esp;8000;16000;0;30000;24000;78000
19;Borussia Dortmund;Germany;Ger;10000;18000;18000;22000;10000;78000
20;Olympique Lyon;France;Fra;14000;17000;23000;0;21000;75000
21;FC Salzburg;Austria;Aut;21000;16000;10000;7000;17000;71000
22;Shakhtar Donetsk;Ukraine;Ukr;19000;10000;22000;14000;6000;71000
23;Internazionale;Italy;Ita;0;15000;25000;9000;18000;67000
24;Atalanta;Italy;Ita;11000;2500;20000;17000;16000;66500
25;Napoli;Italy;Ita;10000;18000;19000;10000;9000;66000
26;Benfica;Portugal;Por;4000;17000;10000;10000;20000;61000
27;Sporting CP Lisbon;Portugal;Por;17000;10000;10000;2500;16000;55500
28;Eintracht Frankfurt;Germany;Ger;0;24000;9000;0;22000;55000
29;FC Basel;Switzerland;Sui;19000;2500;19000;2500;12000;55000
30;Bayer Leverkusen;Germany;Ger;0;11000;18000;10000;14000;53000
31;Lazio;Italy;Ita;17000;6000;4000;17000;9000;53000
32;Slavia Praha;Czech Republic;Cze;6000;14000;6000;16000;10000;52000
33;Dinamo Zagreb;Croatia;Cro;1500;14000;8000;17000;9000;49500
34;Glasgow Rangers;Scotland;Sco;250;5000;11000;15000;15000;46250
35;Sporting Braga;Portugal;Por;9000;2000;10000;9000;16000;46000
36;Red Star Belgrade;Serbia;Srb;8000;7000;6000;10000;15000;46000
37;Zenit St. Petersburg;Russia;Rus;14000;10000;9000;5000;8000;46000
38;Dinamo Kiev;Ukraine;Ukr;12000;11000;6000;10000;5000;44000
